Ticker,Avg_Volume,Name,Type
^GSPC,999999999999.0,S&P 500,Index
^IXIC,999999999999.0,Nasdaq Composite,Index
^VIX,999999999999.0,CBOE Volatility Index,Index
^RUT,999999999999.0,Russell 2000,Index
^DJI,999999999999.0,Dow Jones Industrial Average,Index
BTC-USD,52296676832.275955,Bitcoin,Crypto
ETH-USD,28373544404.295082,Ethereum,Crypto
NVDA,208334055.41269842,NVIDIA Corp.,Equity
SOXS,202390568.7142857,Market Instrument,Non-Stock
TSLL,149481105.90873015,Market Instrument,Non-Stock
TQQQ,142855250.53174603,Market Instrument,Non-Stock
SOXL,120110265.15873016,Market Instrument,Non-Stock
INTC,106063437.6468254,Intel,Stock
TSLA,96286616.56349206,Tesla Inc.,Equity
F,90199616.62698413,Ford Motor Company,Stock
SPY,75478312.92460318,S&P 500 ETF,ETF
PLTR,74389134.17460318,Palantir Technologies,Stock
AAPL,53665089.80555555,Apple Inc.,Equity
IBIT,52604490.333333336,iShares Bitcoin Trust,ETF
PFE,52240457.916666664,Pfizer,Stock
QQQ,50846897.5515873,Invesco QQQ,ETF
WBD,49013117.083333336,Warner Bros. Discovery,Stock
AMD,47963077.63095238,Advanced Micro Devices,Stock
AMZN,45654674.428571425,Amazon.com Inc.,Equity
SMCI,45063341.734126985,Supermicro,Stock
XLF,42870194.75,Financial Sector,ETF
SLV,42003196.603174604,Silver Trust,Commodity
NFLX,41011522.71428572,Netflix,Stock
T,40416514.28174603,AT&T,Stock
BAC,39984593.5515873,Bank of America,Stock
HOOD,38771314.527777776,Robinhood Markets,Stock
TLT,37242002.25793651,20+ Yr Treasury Bond,ETF
GOOGL,36858672.25793651,Alphabet Inc.,Equity
IWM,36663991.821428575,Russell 2000 ETF,ETF
TSLS,33206628.543650795,Market Instrument,Non-Stock
CMCSA,29134309.662698414,Comcast,Stock
HBAN,28958479.575396825,Huntington Bancshares,Stock
KVUE,28514484.46031746,Kenvue,Stock
SQQQ,26375692.924603175,Market Instrument,Non-Stock
AVGO,26307009.45238095,Broadcom Inc.,Equity
MU,25180328.214285713,Micron Technology,Stock
GOOG,23966517.25,Alphabet Inc. (Class C),Stock
VZ,23746665.293650795,Verizon,Stock
MSFT,23565973.805555556,Microsoft Corp.,Equity
PCG,22737749.123015873,PG&E Corporation,Stock
CCL,22691830.416666668,Carnival,Stock
HPE,22627970.468253966,Hewlett Packard Enterprise,Stock
WMT,21242322.984126985,Walmart,Stock
CSCO,21111115.615079366,Cisco,Stock
BITO,20172905.89285714,Market Instrument,Non-Stock
UBER,19896868.646825396,Uber,Stock
JDST,19699241.84920635,Market Instrument,Non-Stock
KEY,19008385.94047619,KeyCorp,Stock
ORCL,18609937.325396825,Oracle Corporation,Stock
CMG,17522555.69047619,Chipotle Mexican Grill,Stock
FCX,17324668.29761905,Freeport-McMoRan,Stock
KO,16982970.57936508,Coca-Cola Company (The),Stock
NKE,16935598.884920634,"Nike, Inc.",Stock
SLB,16809468.654761903,Schlumberger,Stock
XOM,16604804.777777778,ExxonMobil,Stock
WFC,16295437.98015873,Wells Fargo,Stock
DUST,16027690.234126983,Market Instrument,Non-Stock
NCLH,15871507.28968254,Norwegian Cruise Line Holdings,Stock
CSX,15840643.01984127,CSX Corporation,Stock
META,15616419.718253968,Meta Platforms Inc.,Equity
RF,14823492.373015873,Regions Financial Corporation,Stock
XLK,14689538.301587302,Technology Sector,ETF
KDP,14683727.067460317,Keurig Dr Pepper,Stock
MRK,14671635.904761905,Merck & Co.,Stock
C,14581187.694444444,Citigroup,Stock
BMY,14321255.297619049,Bristol Myers Squibb,Stock
KHC,14089352.007936507,Kraft Heinz,Stock
KMI,13983709.194444444,Kinder Morgan,Stock
PYPL,13877163.234126983,PayPal,Stock
GLD,13623533.031746032,Gold Shares,Commodity
HAL,13439765.063492063,Halliburton,Stock
TTD,13185377.547619049,Trade Desk (The),Stock
FNGD,13065632.123015873,Market Instrument,Non-Stock
AES,12743542.765873017,AES Corporation,Stock
UNH,12148360.21031746,UnitedHealth Group,Stock
DOW,12048185.19047619,Dow Inc.,Stock
LRCX,11798378.28968254,Lam Research,Stock
NEM,11567894.150793651,Newmont,Stock
OXY,11318875.46031746,Occidental Petroleum,Stock
VTRS,11279898.38095238,Viatris,Stock
LUV,10963341.03968254,Southwest Airlines,Stock
NEE,10940376.98015873,NextEra Energy,Stock
MRNA,10926619.686507937,Moderna,Stock
COIN,10879585.396825397,Coinbase,Stock
HPQ,10836314.07142857,HP Inc.,Stock
GM,10428164.5,General Motors,Stock
PSKY,10426387.55952381,Paramount Skydance Corporation,Stock
USB,10237339.142857144,U.S. Bancorp,Stock
SBUX,10169642.07936508,Starbucks,Stock
DIS,10005824.301587302,Walt Disney Company (The),Stock
DAL,9695460.86904762,Delta Air Lines,Stock
CAG,9685914.57142857,Conagra Brands,Stock
SCHW,9663896.972222222,Charles Schwab Corporation,Stock
MCHP,9630770.412698412,Microchip Technology,Stock
ANET,9543070.527777778,Arista Networks,Stock
ON,9526411.031746032,ON Semiconductor,Stock
JPM,9518418.349206349,JPMorgan Chase,Stock
CNC,9407378.472222222,Centene Corporation,Stock
NOW,9288095.36904762,ServiceNow,Stock
CVX,9268726.964285715,Chevron Corporation,Stock
MO,9227697.5,Altria,Stock
HST,9212979.722222222,Host Hotels & Resorts,Stock
BSX,9129221.285714285,Boston Scientific,Stock
MDLZ,9060507.53968254,Mondelez International,Stock
QCOM,8929377.841269841,Qualcomm,Stock
XYZ,8862660.988095239,"Block, Inc.",Stock
JNJ,8812172.67857143,Johnson & Johnson,Stock
APH,8706042.88095238,Amphenol,Stock
DVN,8678838.277777778,Devon Energy,Stock
PG,8677567.924603175,Procter & Gamble,Stock
VICI,8641158.714285715,Vici Properties,Stock
CVS,8640949.587301588,CVS Health,Stock
TFC,8597871.373015873,Truist Financial,Stock
EQT,8489075.083333334,EQT Corporation,Stock
WDC,8475794.666666666,Western Digital,Stock
PEP,8369367.753968254,PepsiCo,Stock
BA,8280581.218253968,Boeing,Stock
CRM,8207067.158730159,Salesforce,Stock
CTRA,8096090.861111111,Coterra,Stock
VOO,8024442.392857143,Vanguard S&P 500,ETF
COP,7895543.154761905,ConocoPhillips,Stock
GILD,7868664.80952381,Gilead Sciences,Stock
VXX,7778776.853174604,Market Instrument,Non-Stock
BKR,7707565.03968254,Baker Hughes,Stock
AMAT,7702655.555555556,Applied Materials,Stock
APA,7542773.261904762,APA Corporation,Stock
TXN,7528974.301587301,Texas Instruments,Stock
TGT,7487159.555555556,Target Corporation,Stock
MDT,7447473.162698412,Medtronic,Stock
IVV,7435594.107142857,iShares S&P 500,ETF
WMB,7403898.619047619,Williams Companies,Stock
EXC,7251222.666666667,Exelon,Stock
KOLD,7207881.805555556,Market Instrument,Non-Stock
DOC,7195858.496031746,Healthpeak Properties,Stock
SNDK,7194667.43319838,Sandisk,Stock
KR,7112357.896825396,Kroger,Stock
UAL,7004944.611111111,United Airlines Holdings,Stock
DELL,7003097.376984127,Dell Technologies,Stock
ABT,6973153.146825396,Abbott Laboratories,Stock
CPRT,6960277.75,Copart,Stock
FAST,6927294.968253968,Fastenal,Stock
APP,6867577.53968254,AppLovin,Stock
DD,6865147.226190476,DuPont,Stock
FISV,6801369.824701196,Fiserv,Stock
UPS,6696052.384920635,United Parcel Service,Stock
V,6622622.28968254,Visa Inc.,Stock
FITB,6618752.079365079,Fifth Third Bancorp,Stock
BAX,6465114.404761905,Baxter International,Stock
GLW,6443833.257936508,Corning Inc.,Stock
IBKR,6399367.785714285,Interactive Brokers,Stock
ABBV,6386924.285714285,AbbVie,Stock
BOIL,6277951.630952381,Market Instrument,Non-Stock
PANW,6225060.972222222,Palo Alto Networks,Stock
GIS,6220293.357142857,General Mills,Stock
MS,6193595.626984127,Morgan Stanley,Stock
PM,6177989.023809524,Philip Morris International,Stock
CARR,6074740.630952381,Carrier Global,Stock
PPL,5939179.464285715,PPL Corporation,Stock
MOS,5921546.587301588,Mosaic Company (The),Stock
CRH,5876822.96031746,CRH plc,Stock
FTNT,5831095.702380952,Fortinet,Stock
USO,5800685.027777778,Oil Fund,Commodity
MNST,5795490.682539683,Monster Beverage,Stock
O,5789478.575396826,Realty Income,Stock
CL,5784383.432539683,Colgate-Palmolive,Stock
VST,5777896.428571428,Vistra Corp.,Stock
LVS,5669321.412698412,Las Vegas Sands,Stock
TSCO,5647714.023809524,Tractor Supply,Stock
AMCR,5551418.111111111,Amcor,Stock
IP,5549262.448412699,International Paper,Stock
